COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
11,0177,4/6/2020,W,37,30,26,56,77,268,659,970,865,746,696,782,856,759,859,856,828,877,590,363,300,176,138,92,11906,08,970,,
87,0178,4/6/2020,N,50,33,39,41,137,674,1288,1339,1265,1180,1061,1007,1109,1076,1083,1248,1097,1175,1025,742,505,364,295,161,17994,08,1339,,
87,0178,4/6/2020,S,88,51,52,43,77,248,786,983,1121,998,994,1123,1237,1248,1357,1457,1580,1539,1142,811,510,388,293,256,18382,17,1580,,
13,0180,4/6/2020,N,25,13,17,28,55,193,541,638,664,587,664,775,724,805,756,929,988,974,589,395,268,185,103,71,10987,17,988,,
13,0180,4/6/2020,S,22,10,23,22,89,256,585,873,753,659,739,777,800,776,805,717,782,825,546,354,243,154,103,54,10967,08,873,,
17,0181,4/6/2020,N,13,9,12,10,47,139,362,662,666,599,610,626,663,659,640,633,595,511,384,243,160,85,59,31,8418,09,666,,
17,0181,4/6/2020,S,24,17,10,14,23,73,180,316,447,508,586,653,658,672,662,777,761,703,430,287,166,117,59,39,8182,16,777,,
74,0182,4/6/2020,E,43,27,37,57,90,251,497,650,621,588,544,576,571,594,535,622,696,688,447,260,164,133,101,59,8851,17,696,,
74,0182,4/6/2020,W,28,28,44,50,103,280,499,556,465,436,483,479,556,474,584,606,679,622,423,282,176,112,79,70,8114,17,679,,
15,0183,4/6/2020,N,50,54,41,61,133,520,1298,1361,1138,819,758,733,824,841,947,1014,1099,992,758,476,341,249,165,116,14788,08,1361,,
15,0183,4/6/2020,S,64,42,48,59,160,477,1018,1091,1026,842,784,816,753,814,977,1186,1328,1308,759,508,371,263,185,131,15010,17,1328,,
12,0184,4/6/2020,N,131,89,82,112,269,616,1347,1628,1584,1485,1472,1634,1721,1932,2167,2958,3265,2864,1735,935,701,424,364,261,29776,17,3265,,
12,0184,4/6/2020,S,107,59,108,250,473,1440,3733,3514,2683,1982,1789,1513,1640,1539,1527,1581,1646,1469,1014,691,515,339,258,153,30023,07,3733,,
26,0185,4/6/2020,N,79,65,38,69,69,179,445,599,488,530,545,607,663,673,729,828,859,752,553,436,310,237,192,136,10081,17,859,,
26,0185,4/6/2020,S,55,41,48,45,92,179,519,660,551,504,517,558,660,591,614,636,726,628,515,401,264,218,180,135,9337,17,726,,
87,0188,4/6/2020,E,31,23,25,25,76,396,895,905,944,743,651,627,672,646,598,534,505,520,534,308,240,187,108,72,10265,09,944,,
87,0188,4/6/2020,W,41,26,21,17,36,68,217,393,434,443,509,609,601,697,741,881,922,915,633,593,349,251,149,134,9680,17,922,,
71,0189,4/6/2020,N,31,32,30,62,180,492,899,1003,988,869,904,969,1002,1026,941,1079,1078,1103,662,482,318,187,111,72,14520,18,1103,,
71,0189,4/6/2020,S,51,27,27,42,134,295,633,757,784,788,824,895,1014,987,1118,1329,1249,1202,868,548,369,175,153,81,14350,16,1329,,
14,0190,4/6/2020,N,187,151,129,225,372,749,1549,1818,1625,1712,1752,1759,1772,1784,1907,2506,2745,2430,1575,1127,740,620,454,345,30033,17,2745,,
14,0190,4/6/2020,S,218,174,191,259,469,1588,2594,2400,2052,1658,1478,1410,1497,1509,1524,1722,1680,1647,1261,932,747,541,376,324,28251,07,2594,,
03,0191,4/6/2020,N,85,55,53,102,219,478,1223,1549,1482,1234,1241,1352,1419,1499,1666,2224,2328,2090,1232,736,495,336,237,186,23521,17,2328,,
03,0191,4/6/2020,S,71,55,73,124,240,803,2448,2811,2135,1593,1371,1321,1311,1299,1292,1481,1456,1392,952,629,450,293,211,145,23956,08,2811,,
46,0192,4/6/2020,E,4,2,3,4,14,37,69,59,74,57,68,62,80,82,69,86,104,107,60,50,18,22,6,7,1144,18,107,,
46,0192,4/6/2020,W,4,4,2,4,23,91,127,82,69,63,61,65,65,87,68,68,77,74,35,16,13,14,8,4,1124,07,127,,
87,0193,4/6/2020,E,32,14,13,10,44,232,657,771,804,569,502,409,401,417,413,349,323,348,341,194,139,95,79,41,7197,09,804,,
87,0193,4/6/2020,W,29,10,11,5,23,46,151,296,331,355,357,427,500,531,621,850,804,801,508,379,226,154,93,83,7591,16,850,,
94,0195,4/6/2020,E,6,6,3,3,22,76,172,143,118,119,118,113,143,129,131,132,134,174,119,59,54,27,28,11,2040,18,174,,
94,0195,4/6/2020,W,8,2,5,9,41,70,163,159,117,128,128,129,119,121,121,121,154,123,103,49,32,17,19,16,1954,07,163,,
77,0197,4/6/2020,E,45,32,27,57,77,248,842,1001,1029,807,861,962,944,954,1008,1016,1083,1111,821,479,375,199,170,108,14256,18,1111,,
